Native_5,VPN_5,QUICstep_5,Native_10,VPN_10,QUICstep_10,Native,VPN,QUICstep
159,185.5,181.5,158,200.5,191,146,180,177
163,351,317,157.5,345,305.5,147,311.5,303
161,828,727,164,831,726,145.5,813.5,713.5
162,1385,1134,164,1390,1139.5,142.5,1364,1120.5
163,1316,1083,163,1315,1079,148.5,1304,1064
164,1066,896,161,1057.5,895,146,1046,881.5
164,1011,859.5,164,1007,857,143.5,991.5,839
96,169.5,150.5,96,169,155.5,118,191.5,170.5
95,202.5,182,91,196.5,179,102.5,207.5,189
94,631,551,91,627.5,550,116.5,657,577
92,701.5,616.5,119,724,635,102.5,713,628.5
98,874.5,783,93,862,777.5,115.5,893.5,803
87,1364.5,1115.5,87,1364.5,1115.5,119.5,1387.5,1139
96.5,1248.5,1020,119,1260.5,1045,120,1255.5,1041.5
206.5,281,257,207,274,260.5,192,286.5,255
208.5,324,298,203,326.5,300,193,338.5,284.5
208,637.5,570.5,201,629.5,557,184.5,677,525
209,783,603,209.5,786,595,187,774,588
205.5,705,612.5,213,701,607,189.5,770,589
208.5,1083,931.5,197.5,1089.5,929.5,200,1092,930
202,1208,1031,205,1213,1025,194,1199.5,1018
